practice,stp,region,interval_start,population,appointments_scheduled,appointments_seen
454,E54000015,Missing,2025-04-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-05-01,1,0,0
895,E54000090,South West,2025-05-01,1,0,0
325,E54000042,North West,2025-05-01,1,0,0
976,E54000081,East Midlands,2025-05-01,1,0,0
773,E54000060,Missing,2025-05-01,1,0,0
696,E54000018,South East,2025-05-01,1,0,0
27,E54000006,North West,2025-05-01,1,0,0
454,E54000015,Missing,2025-05-01,1,0,0
160,E54000046,North West,2025-05-01,1,0,0
166,E54000034,North East,2025-05-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-06-01,1,0,0
895,E54000090,South West,2025-06-01,1,0,0
325,E54000042,North West,2025-06-01,1,0,0
976,E54000081,East Midlands,2025-06-01,1,0,0
773,E54000060,Missing,2025-06-01,1,0,0
696,E54000018,South East,2025-06-01,1,0,0
27,E54000006,North West,2025-06-01,1,0,0
454,E54000015,Missing,2025-06-01,1,0,0
160,E54000046,North West,2025-06-01,1,0,0
166,E54000034,North East,2025-06-01,1,0,0
773,E54000060,Missing,2025-07-01,1,0,0
976,E54000081,East Midlands,2025-07-01,1,0,0
325,E54000042,North West,2025-07-01,1,0,0
665,E54000078,South East,2025-07-01,1,0,0
202,E54000048,Missing,2025-07-01,1,0,0
164,E54000085,West Midlands,2025-07-01,1,0,0
138,E54000098,Missing,2025-07-01,1,0,0
895,E54000090,South West,2025-07-01,1,0,0
696,E54000018,South East,2025-07-01,1,0,1
304,E54000003,Missing,2025-07-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-08-01,1,0,0
895,E54000090,South West,2025-08-01,1,0,0
325,E54000042,North West,2025-08-01,1,0,0
976,E54000081,East Midlands,2025-08-01,1,0,0
773,E54000060,Missing,2025-08-01,1,0,0
696,E54000018,South East,2025-08-01,1,0,0
27,E54000006,North West,2025-08-01,1,0,0
454,E54000015,Missing,2025-08-01,1,0,0
160,E54000046,North West,2025-08-01,1,0,0
166,E54000034,North East,2025-08-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-09-01,1,0,0
895,E54000090,South West,2025-09-01,1,0,0
325,E54000042,North West,2025-09-01,1,0,0
976,E54000081,East Midlands,2025-09-01,1,0,0
773,E54000060,Missing,2025-09-01,1,0,0
696,E54000018,South East,2025-09-01,1,0,0
27,E54000006,North West,2025-09-01,1,0,0
454,E54000015,Missing,2025-09-01,1,0,0
160,E54000046,North West,2025-09-01,1,0,0
166,E54000034,North East,2025-09-01,1,0,1
773,E54000060,Missing,2025-10-01,1,0,0
976,E54000081,East Midlands,2025-10-01,1,0,0
325,E54000042,North West,2025-10-01,1,0,0
665,E54000078,South East,2025-10-01,1,0,0
202,E54000048,Missing,2025-10-01,1,0,0
164,E54000085,West Midlands,2025-10-01,1,0,0
138,E54000098,Missing,2025-10-01,1,0,1
895,E54000090,South West,2025-10-01,1,0,0
696,E54000018,South East,2025-10-01,1,0,0
304,E54000003,Missing,2025-10-01,1,0,0
27,E54000006,North West,2025-11-01,1,0,0
202,E54000048,Missing,2025-11-01,1,0,0
895,E54000090,South West,2025-11-01,1,0,0
325,E54000042,North West,2025-11-01,1,0,0
976,E54000081,East Midlands,2025-11-01,1,0,0
773,E54000060,Missing,2025-11-01,1,0,0
696,E54000018,South East,2025-11-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-11-01,1,0,0
606,E54000021,Yorkshire and The Humber,2025-11-01,1,0,0
304,E54000003,Missing,2025-11-01,1,0,0
27,E54000006,North West,2025-12-01,1,0,0
202,E54000048,Missing,2025-12-01,1,0,0
895,E54000090,South West,2025-12-01,1,0,0
325,E54000042,North West,2025-12-01,1,0,0
976,E54000081,East Midlands,2025-12-01,1,0,0
773,E54000060,Missing,2025-12-01,1,0,0
696,E54000018,South East,2025-12-01,1,0,0
468,E54000094,Yorkshire and The Humber,2025-12-01,1,0,0
606,E54000021,Yorkshire and The Humber,2025-12-01,1,0,0
304,E54000003,Missing,2025-12-01,1,0,0
164,E54000085,West Midlands,2026-01-01,1,0,0
202,E54000048,Missing,2026-01-01,1,0,0
895,E54000090,South West,2026-01-01,1,0,0
325,E54000042,North West,2026-01-01,1,0,0
976,E54000081,East Midlands,2026-01-01,1,0,0
773,E54000060,Missing,2026-01-01,1,0,0
696,E54000018,South East,2026-01-01,1,0,0
27,E54000006,North West,2026-01-01,1,0,0
785,E54000090,London,2026-01-01,1,0,0
454,E54000015,Missing,2026-01-01,1,0,0
